 DDSCAT --- DDSCAT 7.3.3 [22.01.20]   
 TARGET --- Cyl.prism, NAT=   4100 NFAC=    164 NLAY=     25 asp.ratio= 1.7301
 GPFAFT --- method of solution 
 GKDLDR --- prescription for polarizabilities
 CYLINDER1 --- shape 
    4100 = NAT0 = number of dipoles
 Nb                                                          
   0.000   0.000 = beta_min, beta_max ;  NBETA = 1
  45.000  45.000 = theta_min, theta_max; NTHETA= 1
  30.000  30.000 = phi_min, phi_max   ;   NPHI = 1
 0.5000 = ETASCA (param. controlling # of scatt. dirs used to calculate <cos> etc.
 Results averaged over    1 target orientations
                   and  2 incident polarizations
   aeff       wave       Q_ext     Q_abs      Q_sca     g(1)=<cos>  <cos^2>    Q_bk       Nsca
 6.0000E-02 2.0000E-02 2.4255E+00 8.7860E-02 2.3377E+00  5.9045E-01 5.7637E-01 1.9175E-03 23558
 6.0000E-02 3.3220E-02 2.3216E+00 9.5207E-01 1.3695E+00  8.8139E-01 8.5454E-01 8.6441E-05  9827
 6.0000E-02 4.6441E-02 2.2049E+00 8.4568E-01 1.3593E+00  8.8970E-01 8.5099E-01 1.5152E-03  5674
 6.0000E-02 5.9661E-02 2.3432E+00 7.8128E-01 1.5620E+00  8.0780E-01 7.6428E-01 8.5452E-04  3871
 6.0000E-02 7.2881E-02 2.4414E+00 9.1415E-01 1.5273E+00  7.9824E-01 7.5835E-01 8.3439E-04  2926
 6.0000E-02 8.6102E-02 2.4691E+00 1.1069E+00 1.3622E+00  8.2411E-01 7.8378E-01 2.2127E-03  2292
 6.0000E-02 9.9322E-02 2.4334E+00 1.1602E+00 1.2733E+00  8.2754E-01 7.8299E-01 8.4513E-04  1816
 6.0000E-02 1.1254E-01 2.4387E+00 1.2181E+00 1.2206E+00  8.2426E-01 7.7586E-01 2.1334E-03  1561
 6.0000E-02 1.2576E-01 2.3905E+00 1.1791E+00 1.2114E+00  8.0438E-01 7.5069E-01 1.3540E-03  1400
 6.0000E-02 1.3898E-01 2.5426E+00 1.1760E+00 1.3666E+00  7.6527E-01 7.1445E-01 1.4032E-03  1245
 6.0000E-02 1.5220E-01 2.7244E+00 1.2274E+00 1.4970E+00  7.3647E-01 6.8996E-01 2.8135E-03  1098
 6.0000E-02 1.6542E-01 2.8632E+00 1.3234E+00 1.5398E+00  7.2503E-01 6.7866E-01 4.1796E-03   962
 6.0000E-02 1.7864E-01 2.9504E+00 1.3884E+00 1.5620E+00  7.1473E-01 6.6616E-01 7.3492E-03   897
 6.0000E-02 1.9186E-01 3.0930E+00 1.4449E+00 1.6481E+00  6.9683E-01 6.4834E-01 1.1734E-02   832
 6.0000E-02 2.0508E-01 3.2578E+00 1.5218E+00 1.7360E+00  6.8044E-01 6.3076E-01 1.5013E-02   769
 6.0000E-02 2.1831E-01 3.3528E+00 1.5691E+00 1.7837E+00  6.6188E-01 6.1098E-01 1.1831E-02   712
 6.0000E-02 2.3153E-01 3.3576E+00 1.6181E+00 1.7396E+00  6.4839E-01 5.9643E-01 6.6174E-03   713
 6.0000E-02 2.4475E-01 3.3516E+00 1.6586E+00 1.6930E+00  6.3238E-01 5.8313E-01 7.2928E-03   656
 6.0000E-02 2.5797E-01 3.3446E+00 1.6880E+00 1.6567E+00  6.1317E-01 5.6915E-01 1.2260E-02   657
 6.0000E-02 2.7119E-01 3.3698E+00 1.7040E+00 1.6658E+00  5.8858E-01 5.5229E-01 1.8645E-02   604
 6.0000E-02 2.8441E-01 3.3974E+00 1.7186E+00 1.6788E+00  5.6506E-01 5.3512E-01 2.3724E-02   606
 6.0000E-02 2.9763E-01 3.3966E+00 1.7480E+00 1.6486E+00  5.5063E-01 5.2074E-01 2.3912E-02   551
 6.0000E-02 3.1085E-01 3.3919E+00 1.7864E+00 1.6056E+00  5.4053E-01 5.0756E-01 2.0563E-02   552
 6.0000E-02 3.2407E-01 3.3959E+00 1.8258E+00 1.5701E+00  5.2977E-01 4.9476E-01 1.6420E-02   499
 6.0000E-02 3.3729E-01 3.4036E+00 1.8638E+00 1.5398E+00  5.1802E-01 4.8237E-01 1.2377E-02   501
 6.0000E-02 3.5051E-01 3.4225E+00 1.8991E+00 1.5234E+00  5.0383E-01 4.7031E-01 9.2357E-03   501
 6.0000E-02 3.6373E-01 3.4441E+00 1.9314E+00 1.5127E+00  4.8873E-01 4.5918E-01 6.8838E-03   452
 6.0000E-02 3.7695E-01 3.4653E+00 1.9595E+00 1.5059E+00  4.7242E-01 4.4878E-01 5.5020E-03   452
 6.0000E-02 3.9017E-01 3.4830E+00 1.9824E+00 1.5006E+00  4.5508E-01 4.3929E-01 5.2293E-03   452
 6.0000E-02 4.0339E-01 3.4959E+00 1.9995E+00 1.4965E+00  4.3665E-01 4.3070E-01 6.1465E-03   452
 6.0000E-02 4.1661E-01 3.5004E+00 2.0095E+00 1.4908E+00  4.1733E-01 4.2302E-01 8.2592E-03   453
 6.0000E-02 4.2983E-01 3.4901E+00 2.0119E+00 1.4782E+00  3.9776E-01 4.1653E-01 1.1506E-02   407
 6.0000E-02 4.4305E-01 3.4705E+00 2.0079E+00 1.4625E+00  3.7747E-01 4.1078E-01 1.5754E-02   408
 6.0000E-02 4.5627E-01 3.4448E+00 2.0001E+00 1.4448E+00  3.5689E-01 4.0585E-01 2.0739E-02   408
 6.0000E-02 4.6949E-01 3.4147E+00 1.9900E+00 1.4247E+00  3.3649E-01 4.0169E-01 2.6138E-02   408
 6.0000E-02 4.8271E-01 3.3817E+00 1.9793E+00 1.4024E+00  3.1666E-01 3.9821E-01 3.1632E-02   408
 6.0000E-02 4.9593E-01 3.3469E+00 1.9691E+00 1.3778E+00  2.9774E-01 3.9531E-01 3.6930E-02   408
 6.0000E-02 5.0915E-01 3.3109E+00 1.9599E+00 1.3510E+00  2.8009E-01 3.9302E-01 4.1817E-02   363
 6.0000E-02 5.2237E-01 3.2735E+00 1.9518E+00 1.3217E+00  2.6357E-01 3.9098E-01 4.6146E-02   363
 6.0000E-02 5.3559E-01 3.2347E+00 1.9445E+00 1.2902E+00  2.4831E-01 3.8924E-01 4.9838E-02   363
 6.0000E-02 5.4881E-01 3.1953E+00 1.9382E+00 1.2571E+00  2.3419E-01 3.8772E-01 5.2899E-02   363
 6.0000E-02 5.6203E-01 3.1554E+00 1.9325E+00 1.2229E+00  2.2102E-01 3.8636E-01 5.5372E-02   363
 6.0000E-02 5.7525E-01 3.1151E+00 1.9273E+00 1.1878E+00  2.0870E-01 3.8511E-01 5.7311E-02   363
 6.0000E-02 5.8847E-01 3.0724E+00 1.9222E+00 1.1502E+00  1.9740E-01 3.8403E-01 5.8646E-02   363
 6.0000E-02 6.0169E-01 3.0287E+00 1.9167E+00 1.1120E+00  1.8685E-01 3.8304E-01 5.9530E-02   363
 6.0000E-02 6.1492E-01 2.9846E+00 1.9109E+00 1.0737E+00  1.7697E-01 3.8214E-01 6.0026E-02   363
 6.0000E-02 6.2814E-01 2.9402E+00 1.9048E+00 1.0355E+00  1.6780E-01 3.8146E-01 6.0185E-02   323
 6.0000E-02 6.4136E-01 2.8961E+00 1.8985E+00 9.9765E-01  1.5909E-01 3.8070E-01 6.0053E-02   323
 6.0000E-02 6.5458E-01 2.8525E+00 1.8921E+00 9.6040E-01  1.5090E-01 3.7999E-01 5.9678E-02   323
 6.0000E-02 6.6780E-01 2.8104E+00 1.8861E+00 9.2428E-01  1.4315E-01 3.7931E-01 5.9124E-02   323
 6.0000E-02 6.8102E-01 2.7753E+00 1.8827E+00 8.9262E-01  1.3537E-01 3.7856E-01 5.8669E-02   323
 6.0000E-02 6.9424E-01 2.7503E+00 1.8829E+00 8.6735E-01  1.2742E-01 3.7765E-01 5.8479E-02   323
 6.0000E-02 7.0746E-01 2.7223E+00 1.8815E+00 8.4077E-01  1.2028E-01 3.7686E-01 5.7989E-02   323
 6.0000E-02 7.2068E-01 2.6894E+00 1.8777E+00 8.1166E-01  1.1400E-01 3.7623E-01 5.7130E-02   323
 6.0000E-02 7.3390E-01 2.6600E+00 1.8746E+00 7.8542E-01  1.0793E-01 3.7556E-01 5.6325E-02   323
 6.0000E-02 7.4712E-01 2.6343E+00 1.8723E+00 7.6208E-01  1.0205E-01 3.7484E-01 5.5596E-02   323
 6.0000E-02 7.6034E-01 2.6124E+00 1.8707E+00 7.4169E-01  9.6339E-02 3.7405E-01 5.4960E-02   323
 6.0000E-02 7.7356E-01 2.5942E+00 1.8699E+00 7.2426E-01  9.0790E-02 3.7318E-01 5.4434E-02   323
 6.0000E-02 7.8678E-01 2.5982E+00 1.8762E+00 7.2196E-01  8.4275E-02 3.7167E-01 5.4941E-02   323
 6.0000E-02 8.0000E-01 2.6152E+00 1.8847E+00 7.3044E-01  7.7339E-02 3.6968E-01 5.6150E-02   323
