 DDSCAT --- DDSCAT 7.3.3 [22.01.20]   
 TARGET --- Cyl.prism, NAT=  29568 NFAC=    616 NLAY=     48 asp.ratio= 1.7139
 GPFAFT --- method of solution 
 GKDLDR --- prescription for polarizabilities
 CYLINDER1 --- shape 
   29568 = NAT0 = number of dipoles
 Nb                                                          
   0.000   0.000 = beta_min, beta_max ;  NBETA = 1
   0.000   0.000 = theta_min, theta_max; NTHETA= 1
  15.000  15.000 = phi_min, phi_max   ;   NPHI = 1
 0.5000 = ETASCA (param. controlling # of scatt. dirs used to calculate <cos> etc.
 Results averaged over    1 target orientations
                   and  2 incident polarizations
   aeff       wave       Q_ext     Q_abs      Q_sca     g(1)=<cos>  <cos^2>    Q_bk       Nsca
 4.5000E-02 5.0000E-02 1.4762E+00 5.8829E-01 8.8791E-01  9.0262E-01 9.0111E-01 4.9108E-02  2921
 4.5000E-02 6.5385E-02 1.8094E+00 6.8875E-01 1.1207E+00  7.8711E-01 8.6517E-01 1.2200E-01  2000
 4.5000E-02 8.0769E-02 2.1179E+00 9.5787E-01 1.1600E+00  7.6823E-01 8.4063E-01 9.1022E-02  1564
 4.5000E-02 9.6154E-02 2.1507E+00 1.1029E+00 1.0478E+00  7.8291E-01 8.0990E-01 4.8856E-02  1245
 4.5000E-02 1.1154E-01 2.2275E+00 1.1986E+00 1.0289E+00  7.7065E-01 7.7369E-01 3.0151E-02  1029
 4.5000E-02 1.2692E-01 2.1903E+00 1.1765E+00 1.0138E+00  7.4348E-01 7.3370E-01 2.7314E-02   897
 4.5000E-02 1.4231E-01 2.4895E+00 1.2578E+00 1.2318E+00  6.9457E-01 6.9609E-01 4.3590E-02   769
 4.5000E-02 1.5769E-01 2.8495E+00 1.4262E+00 1.4233E+00  6.5793E-01 6.6546E-01 5.6098E-02   712
 4.5000E-02 1.7308E-01 3.0560E+00 1.6167E+00 1.4393E+00  6.4949E-01 6.4023E-01 3.3147E-02   656
 4.5000E-02 1.8846E-01 3.3166E+00 1.7724E+00 1.5442E+00  6.2457E-01 6.1645E-01 1.6392E-02   603
 4.5000E-02 2.0385E-01 3.5688E+00 1.9251E+00 1.6438E+00  5.7255E-01 6.0042E-01 2.7861E-02   551
 4.5000E-02 2.1923E-01 3.6364E+00 1.9546E+00 1.6818E+00  5.1129E-01 5.8829E-01 8.2197E-02   552
 4.5000E-02 2.3462E-01 3.6208E+00 2.0086E+00 1.6122E+00  5.0071E-01 5.7404E-01 1.0964E-01   500
 4.5000E-02 2.5000E-01 3.6226E+00 2.1061E+00 1.5165E+00  5.1802E-01 5.5534E-01 1.0228E-01   501
 4.5000E-02 2.6538E-01 3.6533E+00 2.2022E+00 1.4511E+00  5.3477E-01 5.3446E-01 8.5626E-02   452
 4.5000E-02 2.8077E-01 3.6486E+00 2.2575E+00 1.3911E+00  5.4648E-01 5.1084E-01 6.5191E-02   452
 4.5000E-02 2.9615E-01 3.5257E+00 2.2604E+00 1.2653E+00  5.5897E-01 4.8686E-01 3.7171E-02   453
 4.5000E-02 3.1154E-01 3.3855E+00 2.2401E+00 1.1454E+00  5.5944E-01 4.6667E-01 1.7020E-02   408
 4.5000E-02 3.2692E-01 3.2788E+00 2.2188E+00 1.0600E+00  5.4600E-01 4.5026E-01 6.7280E-03   408
 4.5000E-02 3.4231E-01 3.1825E+00 2.1877E+00 9.9485E-01  5.2314E-01 4.3618E-01 1.9759E-03   408
 4.5000E-02 3.5769E-01 3.1014E+00 2.1524E+00 9.4902E-01  4.9411E-01 4.2418E-01 6.4158E-04   363
 4.5000E-02 3.7308E-01 3.0157E+00 2.1052E+00 9.1056E-01  4.6137E-01 4.1399E-01 1.5031E-03   363
 4.5000E-02 3.8846E-01 2.9255E+00 2.0495E+00 8.7595E-01  4.2710E-01 4.0577E-01 3.8550E-03   363
 4.5000E-02 4.0385E-01 2.8290E+00 1.9864E+00 8.4268E-01  3.9282E-01 3.9932E-01 7.1067E-03   363
 4.5000E-02 4.1923E-01 2.7210E+00 1.9147E+00 8.0635E-01  3.5979E-01 3.9446E-01 1.0750E-02   363
 4.5000E-02 4.3462E-01 2.5967E+00 1.8348E+00 7.6190E-01  3.2945E-01 3.9114E-01 1.4252E-02   363
 4.5000E-02 4.5000E-01 2.4673E+00 1.7532E+00 7.1412E-01  3.0223E-01 3.8911E-01 1.7273E-02   323
 4.5000E-02 4.6538E-01 2.3375E+00 1.6733E+00 6.6421E-01  2.7811E-01 3.8779E-01 1.9605E-02   323
 4.5000E-02 4.8077E-01 2.2093E+00 1.5961E+00 6.1320E-01  2.5720E-01 3.8713E-01 2.1181E-02   323
 4.5000E-02 4.9615E-01 2.0853E+00 1.5226E+00 5.6270E-01  2.3924E-01 3.8693E-01 2.2047E-02   323
 4.5000E-02 5.1154E-01 1.9670E+00 1.4531E+00 5.1392E-01  2.2384E-01 3.8704E-01 2.2313E-02   323
 4.5000E-02 5.2692E-01 1.8551E+00 1.3874E+00 4.6775E-01  2.1057E-01 3.8734E-01 2.2106E-02   323
 4.5000E-02 5.4231E-01 1.7507E+00 1.3258E+00 4.2491E-01  1.9900E-01 3.8775E-01 2.1567E-02   323
 4.5000E-02 5.5769E-01 1.6563E+00 1.2698E+00 3.8651E-01  1.8846E-01 3.8816E-01 2.0868E-02   323
 4.5000E-02 5.7308E-01 1.5713E+00 1.2190E+00 3.5231E-01  1.7867E-01 3.8856E-01 2.0084E-02   324
 4.5000E-02 5.8846E-01 1.4941E+00 1.1728E+00 3.2128E-01  1.6987E-01 3.8916E-01 1.9215E-02   285
 4.5000E-02 6.0385E-01 1.4234E+00 1.1301E+00 2.9338E-01  1.6158E-01 3.8955E-01 1.8316E-02   285
 4.5000E-02 6.1923E-01 1.3593E+00 1.0908E+00 2.6847E-01  1.5377E-01 3.8992E-01 1.7425E-02   285
 4.5000E-02 6.3462E-01 1.3013E+00 1.0551E+00 2.4625E-01  1.4638E-01 3.9027E-01 1.6560E-02   285
 4.5000E-02 6.5000E-01 1.2490E+00 1.0226E+00 2.2640E-01  1.3937E-01 3.9060E-01 1.5730E-02   285
