 DDSCAT --- DDSCAT 7.3.3 [22.01.20]   
 TARGET --- Cyl.prism, NAT=   4100 NFAC=    164 NLAY=     25 asp.ratio= 1.7301
 GPFAFT --- method of solution 
 GKDLDR --- prescription for polarizabilities
 CYLINDER1 --- shape 
    4100 = NAT0 = number of dipoles
 Nb                                                          
   0.000   0.000 = beta_min, beta_max ;  NBETA = 1
  45.000  45.000 = theta_min, theta_max; NTHETA= 1
  30.000  30.000 = phi_min, phi_max   ;   NPHI = 1
 0.5000 = ETASCA (param. controlling # of scatt. dirs used to calculate <cos> etc.
 Results averaged over    1 target orientations
                   and  2 incident polarizations
   aeff       wave       Q_ext     Q_abs      Q_sca     g(1)=<cos>  <cos^2>    Q_bk       Nsca
 1.5000E-02 2.0000E-02 2.7033E+00 1.7908E-01 2.5242E+00  6.0491E-01 5.7523E-01 1.9220E-03  2491
 1.5000E-02 3.3220E-02 1.8779E+00 1.0067E+00 8.7121E-01  8.2630E-01 7.5662E-01 2.5486E-04  1244
 1.5000E-02 4.6441E-02 1.1701E+00 6.4538E-01 5.2475E-01  7.4326E-01 6.4866E-01 1.7797E-03   899
 1.5000E-02 5.9661E-02 1.5948E+00 8.0317E-01 7.9167E-01  6.3922E-01 5.6784E-01 2.9041E-03   656
 1.5000E-02 7.2881E-02 2.0413E+00 1.1944E+00 8.4692E-01  5.8144E-01 5.2364E-01 4.8199E-03   551
 1.5000E-02 8.6102E-02 2.1905E+00 1.5019E+00 6.8855E-01  5.2973E-01 4.8139E-01 3.0991E-03   501
 1.5000E-02 9.9322E-02 2.0227E+00 1.5055E+00 5.1718E-01  4.5960E-01 4.4643E-01 4.0134E-03   452
 1.5000E-02 1.1254E-01 1.9559E+00 1.5305E+00 4.2546E-01  3.8738E-01 4.2540E-01 7.5324E-03   408
 1.5000E-02 1.2576E-01 1.7971E+00 1.4484E+00 3.4872E-01  3.1463E-01 4.1276E-01 1.1089E-02   362
 1.5000E-02 1.3898E-01 2.1206E+00 1.6697E+00 4.5090E-01  2.5653E-01 4.0442E-01 1.9799E-02   363
 1.5000E-02 1.5220E-01 2.5233E+00 1.9605E+00 5.6280E-01  2.0928E-01 3.9772E-01 3.0351E-02   363
 1.5000E-02 1.6542E-01 2.6831E+00 2.1127E+00 5.7039E-01  1.7204E-01 3.9276E-01 3.5425E-02   323
 1.5000E-02 1.7864E-01 2.6630E+00 2.1397E+00 5.2336E-01  1.4176E-01 3.8951E-01 3.6278E-02   323
 1.5000E-02 1.9186E-01 2.7259E+00 2.1977E+00 5.2815E-01  1.1558E-01 3.8493E-01 3.9309E-02   323
 1.5000E-02 2.0508E-01 2.6201E+00 2.1077E+00 5.1243E-01  9.1123E-02 3.7945E-01 4.0211E-02   285
 1.5000E-02 2.1831E-01 2.4213E+00 1.9625E+00 4.5885E-01  7.3418E-02 3.7588E-01 3.7465E-02   285
 1.5000E-02 2.3153E-01 2.1439E+00 1.7869E+00 3.5703E-01  6.5175E-02 3.7698E-01 3.0281E-02   285
 1.5000E-02 2.4475E-01 1.9028E+00 1.6266E+00 2.7629E-01  5.9718E-02 3.7865E-01 2.4177E-02   285
 1.5000E-02 2.5797E-01 1.7197E+00 1.5023E+00 2.1746E-01  5.4946E-02 3.8004E-01 1.9530E-02   285
 1.5000E-02 2.7119E-01 1.5963E+00 1.4108E+00 1.8555E-01  4.9164E-02 3.7986E-01 1.6965E-02   285
 1.5000E-02 2.8441E-01 1.4644E+00 1.3059E+00 1.5846E-01  4.4610E-02 3.7988E-01 1.4708E-02   285
 1.5000E-02 2.9763E-01 1.3013E+00 1.1765E+00 1.2486E-01  4.2715E-02 3.8157E-01 1.1797E-02   285
 1.5000E-02 3.1085E-01 1.1754E+00 1.0776E+00 9.7819E-02  4.0911E-02 3.8348E-01 9.4008E-03   248
 1.5000E-02 3.2407E-01 1.1095E+00 1.0290E+00 8.0485E-02  3.7954E-02 3.8426E-01 7.8435E-03   248
 1.5000E-02 3.3729E-01 1.0606E+00 9.9242E-01 6.8202E-02  3.4972E-02 3.8462E-01 6.7211E-03   248
 1.5000E-02 3.5051E-01 1.0353E+00 9.7494E-01 6.0348E-02  3.1755E-02 3.8434E-01 5.9935E-03   248
 1.5000E-02 3.6373E-01 1.0106E+00 9.5635E-01 5.4271E-02  2.8844E-02 3.8387E-01 5.4203E-03   248
 1.5000E-02 3.7695E-01 9.8566E-01 9.3631E-01 4.9351E-02  2.6216E-02 3.8328E-01 4.9493E-03   248
 1.5000E-02 3.9017E-01 9.6081E-01 9.1563E-01 4.5187E-02  2.3846E-02 3.8262E-01 4.5453E-03   248
 1.5000E-02 4.0339E-01 9.3524E-01 8.9368E-01 4.1574E-02  2.1713E-02 3.8194E-01 4.1910E-03   248
 1.5000E-02 4.1661E-01 9.0608E-01 8.6788E-01 3.8206E-02  1.9860E-02 3.8134E-01 3.8588E-03   248
 1.5000E-02 4.2983E-01 8.6889E-01 8.3421E-01 3.4691E-02  1.8391E-02 3.8104E-01 3.5126E-03   248
 1.5000E-02 4.4305E-01 8.2880E-01 7.9748E-01 3.1331E-02  1.7169E-02 3.8090E-01 3.1815E-03   248
 1.5000E-02 4.5627E-01 7.8913E-01 7.6093E-01 2.8211E-02  1.6126E-02 3.8088E-01 2.8733E-03   248
 1.5000E-02 4.6949E-01 7.5055E-01 7.2524E-01 2.5320E-02  1.5244E-02 3.8096E-01 2.5870E-03   248
 1.5000E-02 4.8271E-01 7.1353E-01 6.9087E-01 2.2664E-02  1.4496E-02 3.8114E-01 2.3233E-03   248
 1.5000E-02 4.9593E-01 6.7881E-01 6.5856E-01 2.0255E-02  1.3853E-02 3.8137E-01 2.0833E-03   248
 1.5000E-02 5.0915E-01 6.4670E-01 6.2862E-01 1.8092E-02  1.3291E-02 3.8165E-01 1.8672E-03   248
 1.5000E-02 5.2237E-01 6.1713E-01 6.0097E-01 1.6164E-02  1.2791E-02 3.8196E-01 1.6737E-03   248
 1.5000E-02 5.3559E-01 5.9022E-01 5.7577E-01 1.4457E-02  1.2335E-02 3.8227E-01 1.5019E-03   248
 1.5000E-02 5.4881E-01 5.6704E-01 5.5406E-01 1.2983E-02  1.1882E-02 3.8254E-01 1.3526E-03   248
 1.5000E-02 5.6203E-01 5.4769E-01 5.3598E-01 1.1718E-02  1.1418E-02 3.8275E-01 1.2241E-03   248
 1.5000E-02 5.7525E-01 5.3178E-01 5.2115E-01 1.0636E-02  1.0977E-02 3.8317E-01 1.1133E-03   214
 1.5000E-02 5.8847E-01 5.1768E-01 5.0802E-01 9.6657E-03  1.0529E-02 3.8331E-01 1.0139E-03   214
 1.5000E-02 6.0169E-01 5.0518E-01 4.9637E-01 8.8142E-03  1.0093E-02 3.8342E-01 9.2633E-04   214
 1.5000E-02 6.1492E-01 4.9420E-01 4.8614E-01 8.0663E-03  9.6680E-03 3.8350E-01 8.4917E-04   214
 1.5000E-02 6.2814E-01 4.8465E-01 4.7725E-01 7.4086E-03  9.2530E-03 3.8354E-01 7.8102E-04   214
 1.5000E-02 6.4136E-01 4.7640E-01 4.6958E-01 6.8273E-03  8.8493E-03 3.8355E-01 7.2063E-04   214
 1.5000E-02 6.5458E-01 4.6934E-01 4.6303E-01 6.3129E-03  8.4569E-03 3.8353E-01 6.6697E-04   214
 1.5000E-02 6.6780E-01 4.6364E-01 4.5778E-01 5.8605E-03  8.0709E-03 3.8347E-01 6.1963E-04   214
 1.5000E-02 6.8102E-01 4.6162E-01 4.5612E-01 5.5021E-03  7.6402E-03 3.8323E-01 5.8164E-04   214
 1.5000E-02 6.9424E-01 4.6363E-01 4.5840E-01 5.2396E-03  7.1572E-03 3.8276E-01 5.5315E-04   214
 1.5000E-02 7.0746E-01 4.6373E-01 4.5876E-01 4.9707E-03  6.7446E-03 3.8237E-01 5.2424E-04   214
 1.5000E-02 7.2068E-01 4.6139E-01 4.5671E-01 4.6865E-03  6.4070E-03 3.8212E-01 4.9402E-04   214
 1.5000E-02 7.3390E-01 4.5988E-01 4.5544E-01 4.4412E-03  6.0718E-03 3.8180E-01 4.6774E-04   214
 1.5000E-02 7.4712E-01 4.5913E-01 4.5490E-01 4.2307E-03  5.7392E-03 3.8139E-01 4.4498E-04   214
 1.5000E-02 7.6034E-01 4.5907E-01 4.5502E-01 4.0514E-03  5.4096E-03 3.8091E-01 4.2536E-04   214
 1.5000E-02 7.7356E-01 4.5961E-01 4.5571E-01 3.9006E-03  5.0830E-03 3.8034E-01 4.0857E-04   214
 1.5000E-02 7.8678E-01 4.6624E-01 4.6237E-01 3.8714E-03  4.6480E-03 3.7919E-01 4.0337E-04   214
 1.5000E-02 8.0000E-01 4.7569E-01 4.7177E-01 3.9210E-03  4.1651E-03 3.7763E-01 4.0544E-04   214
